código_do_plano_de_contas;código_do_período;início;fim;anterior;débito;crédito;atual;movimento;ukey;descrição_do_plano_de_contas;código_auxiliar;períodos_contábeis;tipo_de_período;tipo;origem
"1101020069";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZBN";"BIC BANCO AG. 014 / C/C 42.102166-4";"94";"20250228PHYYBI0QZJ3T";1;2;1
"1101020070";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;2384,080000;-2384,080000;"M";"20171004OK5TX00OQZBO";"CREDITOS NÃO IDENTIFICADOS";"95";"20250228PHYYBI0QZJ3T";1;2;1
"1101020071";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZBP";"BRADESCO C/C 111350";"96";"20250228PHYYBI0QZJ3T";1;2;1
"1101020072";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZBQ";"BRADESCO 8590";"97";"20250228PHYYBI0QZJ3T";1;2;1
"1101020073";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZBR";"BANCO RENDIMENTO - C.C. 1442660036";"98";"20250228PHYYBI0QZJ3T";1;2;1
"1101020074";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZBS";"BRADESCO 9130-8";"99";"20250228PHYYBI0QZJ3T";1;2;1
"1101020075";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZBT";"BANCO BRADESCO";"100";"20250228PHYYBI0QZJ3T";1;2;1
"1101020076";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZBU";"BANCO RENDIMENTO - C.C. 1442660028";"101";"20250228PHYYBI0QZJ3T";1;2;1
"1101020077";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZBV";"SANTANDER 0934 4005744-8";"102";"20250228PHYYBI0QZJ3T";1;2;1
"1101020078";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZBW";"ITAU 19614-4";"103";"20250228PHYYBI0QZJ3T";1;2;1
